pdbid,anchor_class,anchor_dist,anchor1,anchor2
1K5N,7,18.60527497781207,182,189
3MRE,7,18.22809186393354,182,189
7R7W,7,18.628847656256145,182,189
4U1M,7,18.5011899347042,182,189
6MT3,7,18.05637208854536,182,189
7TUC,7,18.89368278023107,182,189
3D25,7,18.493051938498414,182,189
3MRG,7,18.712295316181816,182,189
6MT6,7,18.555504250760745,182,189
7KGQ,7,18.56541596625295,182,189
2BVP,7,18.722433201910484,182,189
6JOZ,7,19.138091179634397,182,189
6MTL,7,18.68561452026665,182,189
4U1J,7,17.94468503485085,182,189
6PYW,7,19.1173567472075,182,189
6P2C,6,18.19846397364349,183,189
7KGP,7,19.034120126761838,182,189
3MRB,7,18.614289484157055,182,189
3MRK,7,18.24159842228745,182,189
4QRS,7,18.281571759561594,182,189
5WMQ,7,18.309121469912206,182,189
6J2A,7,19.150135717534745,182,189
6VB2,7,17.78245149016299,182,189
5IB2,7,19.306178829587175,182,189
6PYJ,7,19.246948875081475,182,189
1X7Q,7,18.959081280484032,182,189
6PYV,7,19.20982542867061,182,189
7M8U,7,17.72708066772417,182,189
6P2F,6,18.127302557192557,183,189
6O4Z,7,18.34503376938838,182,189
6Q3K,7,18.472073218780828,182,189
7M8T,7,19.187999035855718,182,189
7WKJ,7,18.781385838111095,182,189
6J1W,7,18.987738174938055,182,189
7JYV,7,19.384429731101203,182,189
6PZ5,7,19.229324195093287,182,189
2GTW-AC,8,18.04089975583258,181,189
2GTW-DF,8,18.2903746271092,181,189
1UXS,7,19.209966736046162,182,189
5NMH,7,18.65149476583579,182,189
6MT4,7,18.62119902154532,182,189
6MT5,7,18.68414325036072,182,189
7KGR,7,18.388165786722716,182,189
8EMI,7,18.233474134130333,182,189
6O4Y,7,18.438565508195044,182,189
7KGS,7,18.80714941185931,182,189
4U1H,7,18.08593906879043,182,189
6P27,6,18.15307293545641,183,189
6P23,6,18.17517634027247,183,189
1M6O,7,18.931192117772188,182,189
2V2W-AC,7,18.236392982166183,182,189
2V2W-DF,7,18.328473313399563,182,189
2V2X-AC,7,18.432322344186584,182,189
2V2X-DF,7,18.355027485678146,182,189
2VLL-AC,7,18.11525735395443,182,189
2VLL-DF,7,18.204996264762045,182,189
3GSO,7,18.563786844283683,182,189
3KPM,7,19.057869162107288,182,189
3PWN-AC,7,18.401797330695718,182,189
3PWN-DF,7,18.4089336193056,182,189
4LCY-AC,7,18.07331784703628,182,189
4LCY-FJ,7,17.927090924073543,182,189
5DEF,7,19.106332981501186,182,189
6J29,7,18.7498275725405,182,189
7R7V,7,18.831563344555335,182,189
7R7Y,7,18.661565154080726,182,189
5WMO,7,17.734731912267524,182,189
3V5H-AC,7,18.20799934094902,182,189
3V5H-DF,7,18.183992685876223,182,189
5VWH,7,18.93879238494366,182,189
3KLA-AC,7,18.568812051394133,182,189
3KLA-DF,7,18.627104069070963,182,189
3PWL-AC,7,18.636578387676213,182,189
3PWL-DF,7,18.69426291673464,182,189
6P2S,6,17.772746186225696,183,189
5NMK,7,18.81217233601691,182,189
7P3D,7,18.10997297071423,182,189
3QFD-AC,7,18.70914869789644,182,189
3QFD-DF,7,18.697029550171866,182,189
7MJA,7,19.752685159238467,182,189
5TXS,7,17.854838979951623,182,189
5XOS,7,17.49996825711407,182,189
1N2R,7,18.943705392557185,182,189
1SYV,7,18.813055280841546,182,189
2GIT-AC,7,18.211120942984262,182,189
2GIT-DF,7,18.24339162546263,182,189
2GTZ-DF,7,18.505273788841926,182,189
3KYO-AP,7,19.020269135845584,182,189
3KYO-CQ,7,18.99722374453699,182,189
3L3I,7,18.947016915599143,182,189
3PWJ-AC,7,18.57023753213728,182,189
5E00,7,18.491453755721857,182,189
